User_ID,Beaches,Mountains,Cultural,Adventure,Relaxation,Food & Dining,Historical,Nature
110,0,1,0,1,1,0,0,0
104,0,0,1,0,0,0,1,0
110,0,1,0,0,0,0,0,0
107,0,0,1,0,0,0,1,0
109,0,0,1,0,1,0,1,0
109,0,1,0,0,0,0,0,1
109,1,0,1,0,0,0,0,1
104,0,0,1,0,0,0,0,1
109,0,1,0,1,0,1,0,0
103,0,0,1,0,0,0,0,1
106,1,0,1,0,0,0,0,0
108,0,0,0,0,0,1,1,0
107,0,1,0,0,1,0,1,0
106,0,0,0,0,0,0,1,0
101,0,1,0,0,1,1,0,0
104,0,0,0,0,1,0,0,0
102,0,0,0,0,1,0,1,1
107,1,0,0,0,0,0,1,0
108,0,0,0,0,0,1,0,0
101,1,0,0,0,0,0,0,0
110,0,0,0,0,1,1,0,0
103,0,1,0,0,0,0,0,0
102,0,0,0,0,1,0,0,0
101,0,1,0,0,0,1,1,0
104,0,0,0,0,0,1,1,1
108,0,0,0,0,1,1,1,0
104,0,0,1,1,0,0,0,0
109,0,0,0,1,1,0,0,0
104,1,0,0,0,0,0,0,0
107,0,0,1,1,0,0,0,0
109,0,0,0,0,0,0,1,0
107,0,1,0,0,0,1,0,0
104,0,0,0,1,0,0,0,0
110,0,0,1,0,0,1,1,0
110,0,0,1,0,0,0,0,0
106,0,1,0,0,0,0,0,0
109,0,1,0,0,0,0,0,0
108,0,0,0,1,0,0,0,0
103,0,0,0,0,1,0,0,1
101,0,0,0,0,1,0,0,0
103,1,0,0,0,0,0,1,0
101,1,0,0,0,1,0,0,0
106,0,0,0,1,0,0,0,0
106,0,0,0,0,1,0,1,1
102,1,0,0,0,1,1,0,0
102,0,1,0,1,0,0,1,0
109,0,0,1,0,1,0,1,0
109,1,0,0,0,0,0,0,0
102,0,0,0,0,1,0,1,0
108,1,0,0,0,0,1,1,0
109,0,0,0,1,0,1,1,0
102,1,1,0,0,0,0,1,0
102,1,1,1,0,0,0,0,0
110,0,1,1,0,0,0,0,1
103,0,1,1,0,0,0,0,0
104,1,0,0,0,0,0,0,0
102,0,0,0,1,0,0,0,0
104,0,0,0,0,1,0,0,0
110,0,1,0,0,0,0,1,1
108,1,0,0,0,0,0,1,1
108,0,1,1,0,1,0,0,0
104,0,0,0,0,0,1,1,1
103,0,0,0,0,0,0,0,1
109,1,0,1,0,0,0,0,1
109,1,0,1,0,0,0,0,0
107,1,0,1,0,0,0,0,0
109,0,0,1,0,0,0,0,1
109,0,0,0,0,0,0,1,1
106,0,0,0,1,1,1,0,0
109,0,0,0,1,0,0,1,0
102,0,0,0,0,0,1,0,0
109,0,1,1,0,1,0,0,0
105,0,0,0,1,0,0,0,0
106,1,0,0,0,0,0,0,0
110,1,0,0,0,0,0,0,0
105,0,0,0,0,1,0,0,1
106,0,0,0,1,0,0,0,0
102,1,0,0,0,0,1,0,0
102,0,0,0,1,1,1,0,0
107,0,1,0,0,1,0,0,0
101,0,1,0,0,0,1,0,0
102,0,1,0,0,0,0,0,0
103,0,0,0,0,0,1,1,1
107,0,0,0,0,1,0,1,1
110,0,0,1,0,0,0,0,0
108,0,0,1,1,0,0,1,0
105,1,0,0,1,0,1,0,0
110,0,0,0,1,0,1,0,0
102,0,0,1,0,0,0,0,0
106,0,0,0,0,0,0,1,0
109,0,1,0,1,0,1,0,0
102,0,1,0,0,0,1,0,0
104,0,0,1,1,0,0,0,0
109,0,0,0,1,0,1,1,0
110,0,1,0,0,0,0,0,0
103,0,0,0,0,0,0,0,1
102,0,0,0,1,0,0,1,0
101,0,1,1,1,0,0,0,0
107,0,1,0,0,0,0,1,1
108,0,0,1,1,0,0,1,0
104,1,0,0,0,0,0,0,0
101,0,0,1,0,1,0,0,1
108,1,0,0,0,0,0,0,0
103,1,0,0,0,0,0,1,0
101,0,0,1,0,0,0,1,1
108,0,1,0,0,0,1,0,0
104,0,1,0,0,0,0,1,0
109,0,0,0,0,1,0,0,0
104,0,0,0,0,0,1,0,1
104,1,0,0,0,1,1,0,0
104,0,0,0,1,1,0,1,0
106,0,0,1,1,0,0,0,0
107,0,0,0,0,0,0,0,1
101,0,0,1,0,0,0,0,1
104,0,0,0,0,0,0,1,0
107,0,0,1,1,0,0,0,0
107,0,1,1,1,0,0,0,0
107,0,0,0,0,0,0,1,0
103,1,0,0,1,0,0,1,0
105,0,1,0,0,0,0,0,0
107,0,0,0,0,1,1,0,0
102,0,0,1,0,0,0,0,0
105,0,0,0,1,0,1,0,0
105,1,0,0,0,0,0,0,1
104,0,1,0,1,0,1,0,0
101,1,1,0,0,1,0,0,0
107,0,0,0,0,1,1,0,0
104,0,0,0,0,0,0,1,1
108,1,0,0,0,0,0,0,0
104,1,0,1,0,0,0,0,0
110,1,0,0,1,0,0,1,0
107,0,1,0,0,0,0,0,1
101,0,0,0,1,0,0,0,0
107,1,1,0,0,1,0,0,0
108,1,0,0,0,0,0,1,0
109,1,0,0,1,0,0,0,1
106,0,0,0,0,0,0,1,0
106,0,0,1,0,0,0,0,1
109,1,0,0,1,1,0,0,0
110,0,0,0,1,1,0,1,0
104,0,0,0,1,0,0,0,0
109,0,0,0,0,0,0,0,1
110,0,1,0,0,0,0,1,0
106,0,1,0,0,0,1,1,0
107,1,1,0,1,0,0,0,0
109,1,0,0,1,0,1,0,0
105,0,0,0,0,0,0,1,0
103,1,0,0,1,0,0,0,0
103,0,1,0,1,0,1,0,0
105,1,0,1,0,0,0,0,0
106,0,0,0,0,1,0,0,0
107,1,1,0,0,0,0,0,0
101,1,0,1,0,0,1,0,0
